Date,Total Index,Energy,Non-energy **,Agriculture **,Beverages,Food **,Oils & Meals,Grains,Other Food **,Raw Materials,Timber,Other Raw Mat.,Fertilizers **,Metals  & Minerals,Base Metals (ex. iron ore),Precious Metals
01/01/1960,7.64,2.134449154,18.8158952,22.03208711,25.44330149,21.19410147,23.1690772,23.57750536,16.43850766,22.33348675,16.23922228,28.99805774,12.86184685,12.8958924,14.07368001,3.268734587
01/02/1960,7.6,2.134449154,18.68146975,21.80845926,25.14066049,20.88540958,22.47641359,23.42698277,16.49180076,22.35670426,16.23922228,29.04666547,12.86184685,12.92914693,14.11466487,3.268734587
01/03/1960,7.6,2.134449154,18.67234985,21.89609656,24.6420866,21.0574126,22.17552726,23.75290999,17.14661074,22.53744732,16.23922228,29.42506569,12.86184685,12.72055899,13.8575887,3.268734587
01/04/1960,7.65,2.134449154,18.83136332,22.03953224,24.86491134,21.2328642,22.40734002,23.49333164,17.64167911,22.56273039,16.23922228,29.47799782,12.86184685,12.92957015,14.11518647,3.268734587
01/05/1960,7.63,2.134449154,18.77482291,22.04928593,24.83571125,21.0873416,22.04824351,23.85166964,17.32106626,22.96954516,16.23922228,30.32969745,12.86184685,12.73065352,13.8700298,3.268734587
01/06/1960,7.57,2.134449154,18.58247785,21.74254656,24.73979761,20.67925868,21.68711283,23.43158795,16.86207387,22.8018254,16.23922228,29.97856257,12.86184685,12.75107819,13.89520238,3.268734587
01/07/1960,7.56,2.134449154,18.56063059,21.68231276,24.854314,20.82077264,21.74783446,23.28036206,17.37484982,22.16257507,16.23922228,28.64024032,12.86184685,12.80547533,13.96224464,3.268734587
01/08/1960,7.55,2.134449154,18.54019131,21.72621054,24.81833228,21.07348611,22.08541132,23.79731525,17.2767422,21.7397589,16.23922228,27.75504048,12.86184685,12.65077134,13.77157826,3.268734587
01/09/1960,7.57,2.134449154,18.59175365,21.87837109,24.72137102,21.30599005,22.18619204,24.1411956,17.58172869,21.82339392,16.23922228,27.93013714,12.86184685,12.50187667,13.58807162,3.268734587
01/10/1960,7.41,2.134449154,18.10793848,21.21845017,24.78954693,20.31918413,21.45671556,23.23559951,16.18287485,21.58743723,16.23922228,27.43614273,12.86184685,12.32430508,13.36922184,3.268734587
01/11/1960,7.33,2.134449154,17.86110253,20.7650558,24.50978361,19.78775722,21.3948444,22.37999498,15.32713068,21.23533968,16.23922228,26.69899805,12.86184685,12.47306651,13.55256427,3.268734587
01/12/1960,7.4,2.134449154,18.06609414,21.1108628,23.81160744,20.51691031,22.21383463,22.76087386,16.25333317,21.18062911,16.23922228,26.58445705,12.86184685,12.41253876,13.47796627,3.268734587
01/01/1961,7.36,2.083331694,18.07633336,21.22272508,22.88503697,21.09595302,23.48551267,23.56871187,15.71405559,20.68547054,16.58552099,25.1690969,12.89599655,12.21165193,13.29412866,3.267464214
01/02/1961,7.46,2.083331694,18.37992682,21.65426255,22.93978653,21.81351936,25.30944229,23.59229786,15.6042492,20.61367221,16.58552099,25.01878129,12.89599655,12.28731577,13.38738126,3.267464214
01/03/1961,7.59,2.083331694,18.7461396,22.19937645,22.48881684,22.69944918,26.18782704,23.96546181,16.96423278,20.83724223,16.58552099,25.4868432,12.89599655,12.32820261,13.43777263,3.267464214
01/04/1961,7.64,2.083331694,18.91958194,22.43809782,22.12601364,23.10623866,27.61367165,23.50445558,16.81583977,20.97349559,16.58552099,25.77210063,12.89599655,12.38745672,13.51080092,3.267464214
01/05/1961,7.64,2.083331694,18.92336602,22.35391667,22.62199055,22.84325129,26.98659943,24.04272122,16.30659028,21.02873588,16.58552099,25.88775064,12.89599655,12.57207231,13.73833214,3.267464214
01/06/1961,7.55,2.083331694,18.65211591,21.98211242,22.68371764,22.32519126,25.48230225,23.77058366,16.86342306,20.79182667,16.58552099,25.39176205,12.89599655,12.4762512,13.6202365,3.267464214
01/07/1961,7.51,2.083331694,18.5311393,21.84206605,22.54524155,22.12313808,25.1669611,24.37712186,16.07851844,20.80163139,16.58552099,25.41228903,12.89599655,12.38065093,13.50241306,3.267464214
01/08/1961,7.47,2.083331694,18.39194751,21.6190763,22.59966273,21.74223898,24.55106457,24.17809719,15.84215796,20.82123418,16.58552099,25.45332904,12.89599655,12.39751451,13.52319673,3.267464214
01/09/1961,7.42,2.083331694,18.23072629,21.38577307,22.41501065,21.39295255,23.52288039,24.04424885,16.19102307,20.8449814,16.58552099,25.50304578,12.89599655,12.36582056,13.48413523,3.267464214
01/10/1961,7.41,2.083331694,18.20092174,21.35366211,22.32731865,21.4145271,23.17757839,25.20726074,15.66209206,20.71070001,16.58552099,25.22191683,12.89599655,12.33736279,13.44906219,3.267464214
01/11/1961,7.45,2.083331694,18.34843183,21.58161549,22.53910967,21.89269483,23.57992212,26.04794203,15.91188608,20.33895969,16.58552099,24.44364841,12.89599655,12.33664166,13.44817343,3.276294509
01/12/1961,7.46,2.083331694,18.35951031,21.58993868,23.1634506,21.73915633,23.74759536,25.62656668,15.57819436,20.42730246,16.58552099,24.62860114,12.89599655,12.35462834,13.47034127,3.379721685
01/01/1962,7.37,2.042914002,18.17494931,21.31694627,22.35025676,21.41899827,23.29163569,25.18392993,15.54755716,20.54358467,17.59234064,23.77100865,12.59915015,12.36417133,13.4836963,3.387469485
01/02/1962,7.39,2.042914002,18.23021963,21.41398101,22.76719537,21.43229521,23.00003273,25.35588327,15.8183717,20.68140053,17.59234064,24.0595373,12.59915015,12.34006376,13.4539847,3.370466471
01/03/1962,7.38,2.042914002,18.19696304,21.41134082,22.01977792,21.63351515,22.92824639,25.8585782,16.10587865,20.56217467,17.59234064,23.80992833,12.59915015,12.24024298,13.33095964,3.361354358
01/04/1962,7.38,2.042914002,18.21640618,21.44723823,22.19795034,21.68415634,22.99176172,26.34039717,15.74930424,20.48990688,17.59234064,23.65862986,12.59915015,12.22814824,13.31605337,3.361354358
01/05/1962,7.43,2.042914002,18.3469754,21.65673742,22.02064644,22.06636178,22.7435106,27.81704721,15.97030384,20.47648743,17.59234064,23.63053517,12.59915015,12.21166675,13.29574059,3.361354358
01/06/1962,7.4,2.042914002,18.27129792,21.55237953,21.93549856,21.98156466,22.51235637,27.59265211,16.20440979,20.31483743,17.59234064,23.29210781,12.59915015,12.18621751,13.26437545,3.368587685
01/07/1962,7.38,2.042914002,18.21705905,21.47728043,21.88892677,21.87044298,22.25701764,27.55448677,16.21698322,20.31275188,17.59234064,23.28774154,12.59915015,12.16860262,13.24266581,3.380611916
01/08/1962,7.35,2.042914002,18.1269962,21.34646015,21.95709745,21.70468666,21.99746144,27.25146053,16.2988787,20.16562769,17.59234064,22.97972515,12.59915015,12.15190303,13.22208424,3.425233086
01/09/1962,7.38,2.042914002,18.21928417,21.48925728,21.96591256,21.93707362,22.41211434,27.11467139,16.6256355,20.15888797,17.59234064,22.965615,12.59915015,12.15108116,13.22107132,3.49249363
01/10/1962,7.33,2.042914002,18.06348117,21.24118966,21.68500442,21.5225704,21.78745007,27.08657091,16.1378685,20.3318852,17.59234064,23.3277987,12.59915015,12.1668116,13.24045845,3.540778433
01/11/1962,7.44,2.042914002,18.38464521,21.72790232,21.70736509,22.26791158,22.54392699,27.74876332,16.94382125,20.42635771,17.59234064,23.52558455,12.59915015,12.18491977,13.26277604,3.527345112
01/12/1962,7.43,2.042914002,18.3615302,21.69601457,22.06741641,22.0905029,22.70635955,26.91521356,16.91322212,20.54872856,17.59234064,23.78177781,12.59915015,12.17717232,13.25322761,3.533920864
01/01/1963,7.49,2.014641051,18.60798869,22.07736236,22.18996928,22.75601789,23.24158127,27.26691757,18.0341947,20.3712663,17.67554362,23.31925702,12.65589542,12.16853057,13.24098332,3.56739488
01/02/1963,7.55,2.014641051,18.77485021,22.32928162,22.30348472,23.17012525,23.47270164,27.58325999,18.77753022,20.2995149,17.67554362,23.16903966,12.65589542,12.17989405,13.25498836,3.579231233
01/03/1963,7.56,2.014641051,18.8150218,22.38413713,22.23704919,23.31653939,23.25481483,27.53300747,19.58122859,20.1935971,17.75557249,22.85977415,12.65589542,12.1945114,13.27300365,3.593322129
01/04/1963,7.64,2.014641051,19.0448155,22.72623841,22.5814452,23.80318589,22.94130967,27.56283839,21.53403472,20.18334958,17.75557249,22.83832013,12.65589542,12.22006591,13.30449853,3.584545081
01/05/1963,7.8,2.014641051,19.53990761,23.47935388,22.99145873,24.91376082,23.09186944,27.31321166,25.13878031,20.24245529,18.0033023,22.69115014,12.65589542,12.2421952,13.331772,3.589993561
01/06/1963,7.79,2.014641051,19.49353935,23.40237647,22.47526957,24.93724984,23.35401523,27.24811359,24.92847792,20.1447194,17.92093345,22.57660915,12.65589542,12.25333775,13.34550473,3.588208714
01/07/1963,7.74,2.014641051,19.36054926,23.20262869,22.11847988,24.80520237,23.47555163,27.58093368,24.04204429,19.86034232,17.50892137,22.43181125,12.65589542,12.24216024,13.33172891,3.600514763
01/08/1963,7.61,2.014641051,18.96495209,22.58422279,22.03590736,23.97171263,23.12134773,27.35672855,22.02651768,19.49203499,17.09151651,22.11719605,12.65589542,12.2586006,13.35199099,3.59945879
01/09/1963,7.64,2.014641051,19.04165183,22.696933,22.43439839,24.13875926,23.25241769,27.73025199,22.05400358,19.32741697,16.8395732,22.04807529,12.65589542,12.27015543,13.36623184,3.607634886
01/10/1963,7.87,2.014641051,19.75774662,23.72419205,22.81473557,25.76849335,24.22399516,27.53663242,26.20000458,19.21987198,16.49932738,22.19500748,12.65589542,12.42939126,13.56248353,3.607501337
01/11/1963,7.88,2.014641051,19.77535593,23.73664088,22.75207594,25.8241968,24.12177536,27.1215532,26.88959763,19.16542221,16.41288186,22.17554765,12.65589542,12.45958275,13.59969332,3.612533288
01/12/1963,7.86,2.014641051,19.70844492,23.58473766,22.82844672,25.57185261,24.39526241,27.1823453,25.66203891,19.14147363,16.66840058,21.84597899,12.65589542,12.55938118,13.72269083,3.613613019
01/01/1964,7.93,1.944374576,20.05919804,23.98404675,23.79073573,25.88551316,24.61135965,27.57159055,26.03563807,19.4626063,16.49932738,22.7031914,15.63598706,12.51208727,13.78871013,3.62396578
01/02/1964,7.84,1.944374576,19.80856707,23.48478393,23.4790026,25.09218362,24.0144482,26.98331049,24.79830245,19.58244213,16.49932738,22.9540774,15.63598706,12.74290846,14.07318788,3.624434342
01/03/1964,7.85,1.944374576,19.82793409,23.28006095,24.59810807,24.52299915,23.86751891,27.17876682,22.98149044,19.59005917,16.23922228,23.25447026,15.63598706,13.22404497,14.6661691,3.624434342
01/04/1964,7.94,1.944374576,20.09298364,23.35622707,24.19527528,24.82395983,23.31510305,27.63977504,24.2602825,19.36363463,15.80675035,23.2533752,15.63598706,13.90654963,15.50732837,3.624434342
01/05/1964,7.89,1.944374576,19.96039319,23.18503503,24.37785938,24.5822407,23.03413276,27.95111092,23.56960699,19.18390398,15.45079328,23.26636238,15.63598706,13.8380737,15.42293457,3.624434342
01/06/1964,7.8,1.944374576,19.68527229,22.77813253,24.57744168,23.89005899,23.17111216,27.65873874,21.42469971,19.16171925,15.45079328,23.21991686,15.63598706,13.80198471,15.37845636,3.624434342
01/07/1964,7.81,1.944374576,19.70612895,22.64964577,24.69545634,23.72584277,23.04276501,28.21167403,20.56416818,18.994698,15.36428648,22.96484656,15.63598706,14.13148723,15.78455483,3.624434342
01/08/1964,7.84,1.944374576,19.79954351,22.45599706,24.81619147,23.39753151,23.1989353,27.96817393,19.52170918,18.96836217,15.36428648,22.90971036,15.63598706,14.82422433,16.63832519,3.624434342
01/09/1964,7.97,1.944374576,20.19867127,22.63695522,24.6975475,23.67575053,24.51033057,28.13392205,18.5424895,19.06536106,15.27428231,23.21121223,15.63598706,15.716088,17.73751096,3.624434342
01/10/1964,8.1,1.944374576,20.58426292,22.72853787,24.59457576,23.80046074,25.37206437,27.45212792,18.42757885,19.1753855,15.27428231,23.44155729,15.63598706,16.74841296,19.00980956,3.624434342
01/11/1964,8.11,1.944374576,20.63134491,22.68673045,24.77307279,23.68947196,25.39956628,27.33626146,18.13880748,19.18963785,15.45079328,23.27836671,15.63598706,16.9831367,19.29909703,3.624434342
01/12/1964,8.07,1.944374576,20.50554386,22.77043071,24.18165031,23.89197073,26.6478884,27.56251834,16.94392206,19.32799713,15.80675035,23.17876521,15.63598706,16.41340338,18.59692385,3.624434342
01/01/1965,7.86,1.938986015,19.8606544,22.43891317,23.53486708,23.74677555,26.85414391,27.42293464,16.33128102,18.70410429,15.80675035,21.87259509,16.50237959,14.95428884,16.79862442,3.634872238
01/02/1965,8.06,1.938986015,20.4733367,22.92667858,23.20570494,24.34345227,28.23280359,27.12221566,16.71145842,19.34265546,16.66840058,22.26716941,16.50237959,15.89270283,17.95518156,3.646076989
01/03/1965,8.05,1.938986015,20.44902338,22.73860956,21.69932292,24.35125984,28.074716,27.14335772,16.92544714,19.34902984,16.9247981,22.00012326,16.50237959,16.20146512,18.33571854,3.646076989
01/04/1965,8.12,1.938986015,20.66939328,22.80152853,21.29806319,24.40770137,28.15406887,26.96434254,17.16486912,19.66371262,17.34442295,22.20004341,16.50237959,16.76975557,19.03611346,3.646076989
01/05/1965,8.16,1.938986015,20.7854104,22.58666439,20.63588586,24.2012032,27.40798705,27.04902003,17.4046881,19.65597345,17.34442295,22.18384083,16.50237959,17.57752434,19.22525304,3.646076989
01/06/1965,8.03,1.938986015,20.39521704,22.49888438,21.08093227,24.03335635,27.51719619,26.77539115,16.96809597,19.49178843,17.34442295,21.84010621,16.50237959,16.52283942,18.73179932,3.646076989
01/07/1965,7.91,1.938986015,20.03011532,22.3851771,21.29534893,23.86368987,27.2300857,26.41190383,17.12837415,19.34719259,17.34442295,21.53738313,16.50237959,15.60072563,17.59533151,3.646076989
01/08/1965,7.88,1.938986015,19.919364,22.02546905,22.69334866,23.02353897,25.33293426,26.40721514,16.92259305,19.26098896,17.34442295,21.35690887,16.50237959,15.98797102,18.07259573,3.646076989
01/09/1965,7.99,1.938986015,20.27507936,22.27182487,23.03638672,23.33268798,25.47061999,26.82274197,17.36103085,19.30562351,17.50892137,21.27046257,16.50237959,16.60834317,18.83717922,3.646076989
01/10/1965,8.04,1.938986015,20.41217453,22.29431849,23.36392564,23.32545932,25.50587247,26.25934176,17.80133019,19.24521933,17.50892137,21.14400155,16.50237959,16.99602916,19.31498646,3.646076989
01/11/1965,8.07,1.938986015,20.50263428,22.28767771,23.53439628,23.23844377,25.99202566,26.41769427,16.73816321,19.3437963,17.50892137,21.35038039,16.50237959,17.29589427,19.68455804,3.646076989
01/12/1965,8.13,1.938986015,20.69382509,22.45534091,24.50791904,23.27455787,25.55411817,27.4314314,16.51300691,19.42130157,17.50892137,21.51264394,16.50237959,17.55703914,20.00640849,3.646076989
01/01/1966,8.29,1.882040588,21.29295134,23.09964322,24.31253503,23.94873295,26.36466782,27.46549778,17.58715958,20.41999133,17.50892137,23.60348172,15.06391217,18.29481234,21.03042905,3.646712175
01/02/1966,8.38,1.882040588,21.5513902,23.02167726,23.71843379,23.88990283,26.37919248,27.4654836,17.37858734,20.55797904,17.75557249,23.6226372,15.06391217,19.2724976,22.23538644,3.646712175
01/03/1966,8.39,1.882040588,21.59791675,23.09631772,23.70298243,23.98146146,25.60321531,27.54443915,18.62287905,20.63732576,17.75557249,23.78875598,15.06391217,19.26664863,22.22817782,3.649054987
01/04/1966,8.45,1.882040588,21.76500213,23.29869027,24.3126446,24.30671147,25.63228353,28.33072992,18.9204755,20.33406017,17.59234064,23.33235216,15.06391217,19.3803325,22.36828857,3.649768016
01/05/1966,8.3,1.882040588,21.30938918,23.22138669,24.02696138,24.17139793,25.74860795,28.02294502,18.61022,20.50365282,17.75557249,23.50890086,15.06391217,18.0971519,20.78682057,3.649768016
01/06/1966,8.35,1.882040588,21.47387786,23.4029015,22.98211952,24.74829362,27.07681556,29.07192801,17.77138622,20.34814435,17.75557249,23.18333131,15.06391217,18.24539463,20.96952373,3.649768016
01/07/1966,8.38,1.882040588,21.56317571,23.86399873,23.44122052,25.42551534,28.3673433,30.44655428,17.01049352,20.28516823,17.75557249,23.05148571,15.06391217,17.58233076,20.15232442,3.649768016
01/08/1966,8.24,1.882040588,21.1493825,24.16497321,23.34708967,25.94253896,28.76549209,31.31991352,17.36137281,20.26214123,17.75557249,23.00327682,15.06391217,15.65569738,17.77782701,3.649768016
01/09/1966,8.07,1.882040588,20.62060302,23.50811481,22.25731823,25.20286687,27.13462623,31.2334888,17.20286685,20.02661248,17.75557249,22.51017833,15.06391217,15.32956243,17.37587892,3.649768016
01/10/1966,8.07,1.882040588,20.6344497,23.16784931,22.33926313,24.52809481,25.67091487,31.12603207,17.05251646,20.28436595,17.75557249,23.04980607,15.06391217,16.07120568,18.28992411,3.649768016
01/11/1966,8.06,1.882040588,20.60231347,23.04846275,22.18688505,24.36639692,25.24692502,31.28498746,16.94565073,20.28455312,17.75557249,23.05019793,15.06391217,16.21435734,18.46635272,3.649768016
01/12/1966,8.04,1.882040588,20.51846746,23.13666206,22.67799488,24.45076105,25.88653906,30.57755646,17.01622051,20.17719754,17.75557249,22.82544035,15.06391217,15.76815751,17.91642954,3.649768016
01/01/1967,8,1.86618436,20.43267121,23.05209792,22.88937119,24.62642067,25.40786073,30.25129976,18.50703071,19.30992261,17.75557249,21.00973014,13.15292666,15.88701903,18.16810449,3.644303736
01/02/1967,7.98,1.86618436,20.39389381,23.04692141,23.36896214,24.49580116,24.97165203,30.64233439,18.30627005,19.36302249,17.92093345,20.94006346,13.15292666,15.77493004,18.02995937,3.659725548
01/03/1967,7.94,1.86618436,20.25609611,23.13759124,23.02758955,24.65384559,24.53068454,31.60379865,18.52515987,19.50968713,18.16450416,20.98075347,13.15292666,15.15294171,17.263384,3.659725548
